date_hour,trip_count
2009-02-11 13,23
2009-02-11 14,33
2009-02-11 15,30
2009-02-11 16,27
2009-02-11 17,29
2009-02-11 18,24
2009-02-11 19,34
2009-02-11 20,36
2009-02-11 21,25
2009-02-11 22,17
2009-02-11 23,19
2009-02-12 00,9
2009-02-12 01,7
2009-02-12 02,7
2009-02-12 03,6
2009-02-12 05,5
2009-02-12 06,18
2009-02-12 07,17
2009-02-12 08,34
2009-02-12 09,28
2009-02-12 10,35
2009-02-12 11,19
2009-02-12 12,28
2009-02-12 13,22
2009-02-12 14,21
2009-02-12 15,34
2009-02-12 16,19
2009-02-12 17,26
2009-02-12 18,27
2009-02-12 19,43
2009-02-12 20,41
2009-02-12 21,29
2009-02-12 22,39
2009-02-12 23,28
2009-02-13 00,18
2009-02-13 01,8
2009-02-13 02,9
2009-02-13 03,8
2009-02-13 04,1
2009-02-13 05,6
2009-02-13 06,12
2009-02-13 07,13
2009-02-13 08,22
2009-02-13 09,19
2009-02-13 10,24
2009-02-13 11,21
2009-02-13 12,14
2009-02-13 13,24
2009-02-13 14,26
2009-02-13 15,28
2009-02-13 16,20
2009-02-13 17,20
2009-02-13 18,41
2009-02-13 19,30
2009-02-13 20,30
2009-02-13 21,30
2009-02-13 22,16
2009-02-13 23,25
2009-02-14 00,32
2009-02-14 01,25
2009-02-14 02,10
2009-02-14 03,16
2009-02-14 04,15
2009-02-14 05,7
2009-02-14 06,4
2009-02-14 07,11
2009-02-14 08,8
2009-02-14 09,14
2009-02-14 10,21
2009-02-14 11,14
2009-02-14 12,19
2009-02-14 13,20
2009-02-14 14,21
2009-02-14 15,22
2009-02-14 16,27
2009-02-14 17,19
2009-02-14 18,41
2009-02-14 19,49
2009-02-14 20,42
2009-02-14 21,25
2009-02-14 22,31
2009-02-14 23,29
2009-02-15 00,35
2009-02-15 01,21
2009-02-15 02,20
2009-02-15 03,20
2009-02-15 04,12
2009-02-15 05,7
2009-02-15 06,2
2009-02-15 07,4
2009-02-15 08,11
2009-02-15 09,15
2009-02-15 10,15
2009-02-15 11,17
2009-02-15 12,18
2009-02-15 13,21
2009-02-15 14,24
2009-02-15 15,24
2009-02-15 16,18
2009-02-15 17,18
2009-02-15 18,23
2009-02-15 19,18
2009-02-15 20,21
2009-02-15 21,25
2009-02-15 22,15
2009-02-15 23,14
2009-02-16 00,20
2009-02-16 01,7
2009-02-16 02,9
2009-02-16 03,13
2009-02-16 04,6
2009-02-16 05,1
2009-02-16 06,5
2009-02-16 07,10
2009-02-16 08,8
2009-02-16 09,16
2009-02-16 10,22
2009-02-16 11,20
2009-02-16 12,26
2009-02-16 13,29
2009-02-16 14,27
2009-02-16 15,24
2009-02-16 16,24
2009-02-16 17,27
2009-02-16 18,43
2009-02-16 19,23
2009-02-16 20,14
2009-02-16 21,23
2009-02-16 22,18
2009-02-16 23,12
2009-02-17 00,8
2009-02-17 01,3
2009-02-17 02,1
2009-02-17 03,2
2009-02-17 04,4
2009-02-17 05,3
2009-02-17 06,7
2009-02-17 07,19
2009-02-17 08,26
2009-02-17 09,18
2009-02-17 10,27
2009-02-17 11,11
2009-02-17 12,20
2009-02-17 13,15
2009-02-17 14,18
2009-02-17 15,31
2009-02-17 16,21
2009-02-17 17,32
2009-02-17 18,19
2009-02-17 19,25
2009-02-17 20,20
2009-02-17 21,24
2009-02-17 22,20
2009-02-17 23,23
2009-02-18 00,12
2009-02-18 01,10
2009-02-18 02,12
2009-02-18 03,7
2009-02-18 04,4
2009-02-18 05,4
2009-02-18 06,10
2009-02-18 07,21
2009-02-18 08,30
2009-02-18 09,25
2009-02-18 10,28
2009-02-18 11,22
2009-02-18 12,17
2009-02-18 13,15
2009-02-18 14,19
2009-02-18 15,19
2009-02-18 16,14
2009-02-18 17,12
2009-02-18 18,39
2009-02-18 19,31
2009-02-18 20,40
2009-02-18 21,40
2009-02-18 22,25
2009-02-18 23,14
2009-02-19 00,17
2009-02-19 01,12
2009-02-19 02,9
2009-02-19 03,1
2009-02-19 04,2
2009-02-19 05,2
2009-02-19 06,9
2009-02-19 07,18
2009-02-19 08,24
2009-02-19 09,28
2009-02-19 10,22
2009-02-19 11,22
2009-02-19 12,20
2009-02-19 13,19
2009-02-19 14,28
2009-02-19 15,22
2009-02-19 16,16
2009-02-19 17,36
2009-02-19 18,30
2009-02-19 19,46
2009-02-19 20,35
2009-02-19 21,26
2009-02-19 22,36
2009-02-19 23,16
2009-02-20 00,25
2009-02-20 01,11
2009-02-20 02,6
2009-02-20 03,6
2009-02-20 04,1
2009-02-20 05,3
2009-02-20 06,9
2009-02-20 07,18
2009-02-20 08,32
2009-02-20 09,18
2009-02-20 10,17
2009-02-20 11,19
2009-02-20 12,26
2009-02-20 13,27
2009-02-20 14,26
2009-02-20 15,18
2009-02-20 16,21
2009-02-20 17,20
2009-02-20 18,38
2009-02-20 19,16
2009-02-20 20,38
2009-02-20 21,28
2009-02-20 22,32
